Waktu(s),Raw_L,Raw_R,Clean_L,Clean_R,Kecepatan_Angular_rad_s
5.544757604598999,-114,152,-114,152,5.563307517741656
5.546189546585083,-116,152,-116,152,5.371185131397883
5.644845485687256,-116,155,-116,155,5.188452457757217
5.646275043487549,-118,155,-118,155,4.995739244471229
5.747490406036377,-118,157,-118,157,4.801841118331916
5.748913288116455,-119,157,-119,157,4.610459139518942
5.848887920379639,-119,159,-119,159,4.410890454144596
5.850346326828003,-120,159,-120,159,4.026927606840968
5.950692892074585,-120,161,-120,161,3.8381799938544097
5.9521379470825195,-121,161,-121,161,3.6459294333471974
6.052776575088501,-121,162,-121,162,3.2686968331122883
6.0541558265686035,-122,162,-122,162,3.0767396608505257
6.154014825820923,-122,163,-122,163,2.6857862251505544
6.155379772186279,-123,163,-123,163,2.4942608630756697
6.255385398864746,-123,163,-123,163,2.1155554104135352
6.256787061691284,-123,163,-123,163,1.923312545013865
6.357568740844727,-123,164,-123,164,1.728235004410465
6.358955383300781,-123,164,-123,164,1.5364256496321829
6.459264755249023,-123,164,-123,164,1.1524035095881358
6.460716485977173,-123,164,-123,164,0.9603236523929826
6.560688734054565,-123,164,-123,164,0.7692668763736085
6.562047719955444,-123,164,-123,164,0.5769731783783429
6.663386344909668,-123,164,-123,164,0.3835314552912085
6.664637088775635,-123,164,-123,164,0.19180873169224433
6.764162540435791,-123,164,-123,164,0.19198975743755992
6.765639543533325,-123,164,-123,164,0.1919613315953562
6.865518808364868,-123,164,-123,164,0.0
6.866971492767334,-123,164,-123,164,0.0
6.968447923660278,-123,164,-123,164,0.0
6.969935655593872,-123,164,-123,164,0.0
